test,params,ticks_per_sec,ns_per_tick,ns_per_node_tick,overhead_pct
TC-01,depth=10,33584.9,29775.3,2977.53,0
TC-01,depth=100,3221.27,310437,3104.37,0
TC-01,depth=1000,252.881,3.95443e+06,3954.43,0
TC-01,depth=5000,48.3611,2.06778e+07,4135.55,0
TC-01,depth=10000,16.0162,6.24367e+07,6243.67,0
TC-02,regs=10,110148,9078.67,907.867,0
TC-02,regs=100,104394,9579.11,95.7911,0
TC-02,regs=1000,123944,8068.14,8.06814,0
TC-02,regs=5000,161599,6188.16,1.23763,0
TC-02,regs=10000,158461,6310.71,0.631071,0
TC-04,signals=100,113131,8839.31,0,31.9928
TC-06,nodes=1000,160395,6234.61,0,11.3438
